doclength,editsize,editnum,eps,latency,clients,algorithm,time
200,20,150,0.1,0,2,"Automerge",3.586
200,20,150,0.1,0,2,"Sync9",0.484
200,20,150,0.1,0,5,"Automerge",9.753
200,20,150,0.1,0,5,"Sync9",1.271
200,20,150,0.1,0,10,"Automerge",17.819
200,20,150,0.1,0,10,"Sync9",1.864
200,20,150,0.1,0,20,"Automerge",28.358
200,20,150,0.1,0,20,"Sync9",2.419
200,20,150,0.1,1,2,"Automerge",5.317
200,20,150,0.1,1,2,"Sync9",0.405
200,20,150,0.1,1,5,"Automerge",5.962
200,20,150,0.1,1,5,"Sync9",0.555
200,20,150,0.1,1,10,"Automerge",10.626
200,20,150,0.1,1,10,"Sync9",1.082
200,20,150,0.1,1,20,"Automerge",20.219
200,20,150,0.1,1,20,"Sync9",3.858
200,20,150,0.1,2,2,"Automerge",3.013
200,20,150,0.1,2,2,"Sync9",0.416
200,20,150,0.1,2,5,"Automerge",5.761
200,20,150,0.1,2,5,"Sync9",0.675
200,20,150,0.1,2,10,"Automerge",10.853
200,20,150,0.1,2,10,"Sync9",1.388
200,20,150,0.1,2,20,"Automerge",19.696
200,20,150,0.1,2,20,"Sync9",5.768
200,20,150,0.1,3,2,"Automerge",3.173
200,20,150,0.1,3,2,"Sync9",0.843
200,20,150,0.1,3,5,"Automerge",5.87
200,20,150,0.1,3,5,"Sync9",0.822
200,20,150,0.1,3,10,"Automerge",10.897
200,20,150,0.1,3,10,"Sync9",2.054
200,20,150,0.1,3,20,"Automerge",20.514
200,20,150,0.1,3,20,"Sync9",10.539
200,20,150,0.1,4,2,"Automerge",3.224
200,20,150,0.1,4,2,"Sync9",0.412
200,20,150,0.1,4,5,"Automerge",6.028
200,20,150,0.1,4,5,"Sync9",0.795
200,20,150,0.1,4,10,"Automerge",10.185
200,20,150,0.1,4,10,"Sync9",2.288
200,20,150,0.1,4,20,"Automerge",39.486
200,20,150,0.1,4,20,"Sync9",25.297
200,20,150,0.1,5,2,"Automerge",3.205
200,20,150,0.1,5,2,"Sync9",0.464
200,20,150,0.1,5,5,"Automerge",5.923
200,20,150,0.1,5,5,"Sync9",0.903
200,20,150,0.1,5,10,"Automerge",9.974
200,20,150,0.1,5,10,"Sync9",3.003
200,20,150,0.1,5,20,"Automerge",19.519
200,20,150,0.1,5,20,"Sync9",23.554
200,20,150,0.1,6,2,"Automerge",3.522
200,20,150,0.1,6,2,"Sync9",0.462
200,20,150,0.1,6,5,"Automerge",6.158
200,20,150,0.1,6,5,"Sync9",0.903
200,20,150,0.1,6,10,"Automerge",10.654
200,20,150,0.1,6,10,"Sync9",3.654
200,20,150,0.1,6,20,"Automerge",32.592
200,20,150,0.1,6,20,"Sync9",50.713
200,20,150,0.1,7,2,"Automerge",4.068
200,20,150,0.1,7,2,"Sync9",0.425
200,20,150,0.1,7,5,"Automerge",6.141
200,20,150,0.1,7,5,"Sync9",1.015
200,20,150,0.1,7,10,"Automerge",10.537
200,20,150,0.1,7,10,"Sync9",3.965
200,20,150,0.1,7,20,"Automerge",19.681
200,20,150,0.1,7,20,"Sync9",23.904
200,20,150,0.1,8,2,"Automerge",3.286
200,20,150,0.1,8,2,"Sync9",0.462
200,20,150,0.1,8,5,"Automerge",5.926
200,20,150,0.1,8,5,"Sync9",1.008
200,20,150,0.1,8,10,"Automerge",10.666
200,20,150,0.1,8,10,"Sync9",7.045
200,20,150,0.1,8,20,"Automerge",20.011
200,20,150,0.1,8,20,"Sync9",32.016
200,20,150,0.1,9,2,"Automerge",3.506
200,20,150,0.1,9,2,"Sync9",0.469
200,20,150,0.1,9,5,"Automerge",6.095
200,20,150,0.1,9,5,"Sync9",1.127
200,20,150,0.1,9,10,"Automerge",10.702
200,20,150,0.1,9,10,"Sync9",7.151
200,20,150,0.1,9,20,"Automerge",19.87
200,20,150,0.1,9,20,"Sync9",225.99
200,20,150,0.4,0,2,"Automerge",2.808
200,20,150,0.4,0,2,"Sync9",0.43
200,20,150,0.4,0,5,"Automerge",5.903
200,20,150,0.4,0,5,"Sync9",0.511
200,20,150,0.4,0,10,"Automerge",9.938
200,20,150,0.4,0,10,"Sync9",0.995
200,20,150,0.4,0,20,"Automerge",19.074
200,20,150,0.4,0,20,"Sync9",5.575
200,20,150,0.4,1,2,"Automerge",3.085
200,20,150,0.4,1,2,"Sync9",0.432
200,20,150,0.4,1,5,"Automerge",5.871
200,20,150,0.4,1,5,"Sync9",0.834
200,20,150,0.4,1,10,"Automerge",10.319
200,20,150,0.4,1,10,"Sync9",3.279
200,20,150,0.4,1,20,"Automerge",19.487
200,20,150,0.4,1,20,"Sync9",17.74
200,20,150,0.4,2,2,"Automerge",3.082
200,20,150,0.4,2,2,"Sync9",0.448
200,20,150,0.4,2,5,"Automerge",6.189
200,20,150,0.4,2,5,"Sync9",1.323
200,20,150,0.4,2,10,"Automerge",10.67
200,20,150,0.4,2,10,"Sync9",6.791
200,20,150,0.4,2,20,"Automerge",18.998
200,20,150,0.4,2,20,"Sync9",52.467
200,20,150,0.4,3,2,"Automerge",2.976
200,20,150,0.4,3,2,"Sync9",0.415
200,20,150,0.4,3,5,"Automerge",6.267
200,20,150,0.4,3,5,"Sync9",1.387
200,20,150,0.4,3,10,"Automerge",10.45
200,20,150,0.4,3,10,"Sync9",12.585
200,20,150,0.4,3,20,"Automerge",18.657
200,20,150,0.4,3,20,"Sync9",69.219
200,20,150,0.4,4,2,"Automerge",3.183
200,20,150,0.4,4,2,"Sync9",0.446
200,20,150,0.4,4,5,"Automerge",6.016
200,20,150,0.4,4,5,"Sync9",2.116
200,20,150,0.4,4,10,"Automerge",10.331
200,20,150,0.4,4,10,"Sync9",15.954
200,20,150,0.4,4,20,"Automerge",18.66
200,20,150,0.4,4,20,"Sync9",99.97
200,20,150,0.4,5,2,"Automerge",3.439
200,20,150,0.4,5,2,"Sync9",0.448
200,20,150,0.4,5,5,"Automerge",5.852
200,20,150,0.4,5,5,"Sync9",2.191
200,20,150,0.4,5,10,"Automerge",10.092
200,20,150,0.4,5,10,"Sync9",19.137
200,20,150,0.4,5,20,"Automerge",18.21
200,20,150,0.4,5,20,"Sync9",90.365
200,20,150,0.4,6,2,"Automerge",3.333
200,20,150,0.4,6,2,"Sync9",0.543
200,20,150,0.4,6,5,"Automerge",5.991
200,20,150,0.4,6,5,"Sync9",3.184
200,20,150,0.4,6,10,"Automerge",10.5
200,20,150,0.4,6,10,"Sync9",47.194
200,20,150,0.4,6,20,"Automerge",17.841
200,20,150,0.4,6,20,"Sync9",86.778
200,20,150,0.4,7,2,"Automerge",2.994
200,20,150,0.4,7,2,"Sync9",0.624
200,20,150,0.4,7,5,"Automerge",5.72
200,20,150,0.4,7,5,"Sync9",4.27
200,20,150,0.4,7,10,"Automerge",10.035
200,20,150,0.4,7,10,"Sync9",38.133
200,20,150,0.4,7,20,"Automerge",17.423
200,20,150,0.4,7,20,"Sync9",106.521
200,20,150,0.4,8,2,"Automerge",3.059
200,20,150,0.4,8,2,"Sync9",0.561
200,20,150,0.4,8,5,"Automerge",5.927
200,20,150,0.4,8,5,"Sync9",3.388
200,20,150,0.4,8,10,"Automerge",9.637
200,20,150,0.4,8,10,"Sync9",48.031
200,20,150,0.4,8,20,"Automerge",18.672
200,20,150,0.4,8,20,"Sync9",60.402
200,20,150,0.4,9,2,"Automerge",3.445
200,20,150,0.4,9,2,"Sync9",0.562
200,20,150,0.4,9,5,"Automerge",5.932
200,20,150,0.4,9,5,"Sync9",4.579
200,20,150,0.4,9,10,"Automerge",10.447
200,20,150,0.4,9,10,"Sync9",25.636
200,20,150,0.4,9,20,"Automerge",18.685
200,20,150,0.4,9,20,"Sync9",65.397
200,20,150,0.8,0,2,"Automerge",2.886
200,20,150,0.8,0,2,"Sync9",0.354
200,20,150,0.8,0,5,"Automerge",6.048
200,20,150,0.8,0,5,"Sync9",0.636
200,20,150,0.8,0,10,"Automerge",10.53
200,20,150,0.8,0,10,"Sync9",2.007
200,20,150,0.8,0,20,"Automerge",19.817
200,20,150,0.8,0,20,"Sync9",17.688
200,20,150,0.8,1,2,"Automerge",3.124
200,20,150,0.8,1,2,"Sync9",0.425
200,20,150,0.8,1,5,"Automerge",6.142
200,20,150,0.8,1,5,"Sync9",1.413
200,20,150,0.8,1,10,"Automerge",10.699
200,20,150,0.8,1,10,"Sync9",5.649
200,20,150,0.8,1,20,"Automerge",19.359
200,20,150,0.8,1,20,"Sync9",146.057
200,20,150,0.8,2,2,"Automerge",3.095
200,20,150,0.8,2,2,"Sync9",0.551
200,20,150,0.8,2,5,"Automerge",5.747
200,20,150,0.8,2,5,"Sync9",2.308
200,20,150,0.8,2,10,"Automerge",9.861
200,20,150,0.8,2,10,"Sync9",22.941
200,20,150,0.8,2,20,"Automerge",18.438
200,20,150,0.8,2,20,"Sync9",118.151
200,20,150,0.8,3,2,"Automerge",3.234
200,20,150,0.8,3,2,"Sync9",0.565
200,20,150,0.8,3,5,"Automerge",5.816
200,20,150,0.8,3,5,"Sync9",4.902
200,20,150,0.8,3,10,"Automerge",10.053
200,20,150,0.8,3,10,"Sync9",43.366
200,20,150,0.8,3,20,"Automerge",18.156
200,20,150,0.8,3,20,"Sync9",79.87
200,20,150,0.8,4,2,"Automerge",3.46
200,20,150,0.8,4,2,"Sync9",0.619
200,20,150,0.8,4,5,"Automerge",5.583
200,20,150,0.8,4,5,"Sync9",5.548
200,20,150,0.8,4,10,"Automerge",10.036
200,20,150,0.8,4,10,"Sync9",73.815
200,20,150,0.8,4,20,"Automerge",18.21
200,20,150,0.8,4,20,"Sync9",60.745
200,20,150,0.8,5,2,"Automerge",3.054
200,20,150,0.8,5,2,"Sync9",0.727
200,20,150,0.8,5,5,"Automerge",5.74
200,20,150,0.8,5,5,"Sync9",10.784
200,20,150,0.8,5,10,"Automerge",9.557
200,20,150,0.8,5,10,"Sync9",47.868
200,20,150,0.8,5,20,"Automerge",17.63
200,20,150,0.8,5,20,"Sync9",106.518
200,20,150,0.8,6,2,"Automerge",3.288
200,20,150,0.8,6,2,"Sync9",0.777
200,20,150,0.8,6,5,"Automerge",5.77
200,20,150,0.8,6,5,"Sync9",15.414
200,20,150,0.8,6,10,"Automerge",9.926
200,20,150,0.8,6,10,"Sync9",35.572
200,20,150,0.8,6,20,"Automerge",17.948
200,20,150,0.8,6,20,"Sync9",64.637
200,20,150,0.8,7,2,"Automerge",2.995
200,20,150,0.8,7,2,"Sync9",0.994
200,20,150,0.8,7,5,"Automerge",5.618
200,20,150,0.8,7,5,"Sync9",26.109
200,20,150,0.8,7,10,"Automerge",10.042
200,20,150,0.8,7,10,"Sync9",31.865
200,20,150,0.8,7,20,"Automerge",17.326
200,20,150,0.8,7,20,"Sync9",65.445
200,20,150,0.8,8,2,"Automerge",3.043
200,20,150,0.8,8,2,"Sync9",0.955
200,20,150,0.8,8,5,"Automerge",5.613
200,20,150,0.8,8,5,"Sync9",24.618
200,20,150,0.8,8,10,"Automerge",9.797
200,20,150,0.8,8,10,"Sync9",38.596
200,20,150,0.8,8,20,"Automerge",26.954
200,20,150,0.8,8,20,"Sync9",68.94
200,20,150,0.8,9,2,"Automerge",3.126
200,20,150,0.8,9,2,"Sync9",1.278
200,20,150,0.8,9,5,"Automerge",5.565
200,20,150,0.8,9,5,"Sync9",18.349
200,20,150,0.8,9,10,"Automerge",9.935
200,20,150,0.8,9,10,"Sync9",26.632
200,20,150,0.8,9,20,"Automerge",17.521
200,20,150,0.8,9,20,"Sync9",65.588
