doclength,editsize,editnum,eps,rpe,clients,algorithm,time
100,10,10,0.1,-1,2,"Automerge",0.362
100,10,10,0.1,-1,2,"Sync9",0.057
100,10,10,0.25,-1,2,"Automerge",0.178
100,10,10,0.25,-1,2,"Sync9",0.03
100,10,10,0.5,-1,2,"Automerge",0.156
100,10,10,0.5,-1,2,"Sync9",0.03
100,10,10,0.75,-1,2,"Automerge",0.155
100,10,10,0.75,-1,2,"Sync9",0.031
100,10,10,0.9,-1,2,"Automerge",0.141
100,10,10,0.9,-1,2,"Sync9",0.028
100,10,10,0.1,-1,3,"Automerge",0.2
100,10,10,0.1,-1,3,"Sync9",0.041
100,10,10,0.25,-1,3,"Automerge",0.178
100,10,10,0.25,-1,3,"Sync9",0.035
100,10,10,0.5,-1,3,"Automerge",0.187
100,10,10,0.5,-1,3,"Sync9",0.03
100,10,10,0.75,-1,3,"Automerge",0.179
100,10,10,0.75,-1,3,"Sync9",0.03
100,10,10,0.9,-1,3,"Automerge",0.163
100,10,10,0.9,-1,3,"Sync9",0.031
100,10,10,0.1,-1,5,"Automerge",0.274
100,10,10,0.1,-1,5,"Sync9",0.056
100,10,10,0.25,-1,5,"Automerge",0.253
100,10,10,0.25,-1,5,"Sync9",0.09
100,10,10,0.5,-1,5,"Automerge",0.252
100,10,10,0.5,-1,5,"Sync9",0.047
100,10,10,0.75,-1,5,"Automerge",0.247
100,10,10,0.75,-1,5,"Sync9",0.038
100,10,10,0.9,-1,5,"Automerge",0.265
100,10,10,0.9,-1,5,"Sync9",0.045
100,10,10,0.1,-1,7,"Automerge",0.35
100,10,10,0.1,-1,7,"Sync9",0.062
100,10,10,0.25,-1,7,"Automerge",0.303
100,10,10,0.25,-1,7,"Sync9",0.056
100,10,10,0.5,-1,7,"Automerge",0.373
100,10,10,0.5,-1,7,"Sync9",0.078
100,10,10,0.75,-1,7,"Automerge",0.334
100,10,10,0.75,-1,7,"Sync9",0.062
100,10,10,0.9,-1,7,"Automerge",0.323
100,10,10,0.9,-1,7,"Sync9",0.056
100,10,10,0.1,-1,10,"Automerge",0.454
100,10,10,0.1,-1,10,"Sync9",0.092
100,10,10,0.25,-1,10,"Automerge",0.392
100,10,10,0.25,-1,10,"Sync9",0.154
100,10,10,0.5,-1,10,"Automerge",0.451
100,10,10,0.5,-1,10,"Sync9",0.097
100,10,10,0.75,-1,10,"Automerge",0.436
100,10,10,0.75,-1,10,"Sync9",0.084
100,10,10,0.9,-1,10,"Automerge",0.407
100,10,10,0.9,-1,10,"Sync9",0.091
100,10,20,0.1,-1,2,"Automerge",0.248
100,10,20,0.1,-1,2,"Sync9",0.06
100,10,20,0.25,-1,2,"Automerge",0.232
100,10,20,0.25,-1,2,"Sync9",0.046
100,10,20,0.5,-1,2,"Automerge",0.264
100,10,20,0.5,-1,2,"Sync9",0.054
100,10,20,0.75,-1,2,"Automerge",0.225
100,10,20,0.75,-1,2,"Sync9",0.049
100,10,20,0.9,-1,2,"Automerge",0.207
100,10,20,0.9,-1,2,"Sync9",0.059
100,10,20,0.1,-1,3,"Automerge",0.316
100,10,20,0.1,-1,3,"Sync9",0.062
100,10,20,0.25,-1,3,"Automerge",0.28
100,10,20,0.25,-1,3,"Sync9",0.051
100,10,20,0.5,-1,3,"Automerge",0.276
100,10,20,0.5,-1,3,"Sync9",0.055
100,10,20,0.75,-1,3,"Automerge",0.269
100,10,20,0.75,-1,3,"Sync9",0.074
100,10,20,0.9,-1,3,"Automerge",0.303
100,10,20,0.9,-1,3,"Sync9",0.089
100,10,20,0.1,-1,5,"Automerge",0.431
100,10,20,0.1,-1,5,"Sync9",0.084
100,10,20,0.25,-1,5,"Automerge",0.382
100,10,20,0.25,-1,5,"Sync9",0.077
100,10,20,0.5,-1,5,"Automerge",0.377
100,10,20,0.5,-1,5,"Sync9",0.117
100,10,20,0.75,-1,5,"Automerge",0.388
100,10,20,0.75,-1,5,"Sync9",0.147
100,10,20,0.9,-1,5,"Automerge",0.395
100,10,20,0.9,-1,5,"Sync9",0.108
100,10,20,0.1,-1,7,"Automerge",0.554
100,10,20,0.1,-1,7,"Sync9",0.104
100,10,20,0.25,-1,7,"Automerge",0.511
100,10,20,0.25,-1,7,"Sync9",0.117
100,10,20,0.5,-1,7,"Automerge",0.542
100,10,20,0.5,-1,7,"Sync9",0.158
100,10,20,0.75,-1,7,"Automerge",0.467
100,10,20,0.75,-1,7,"Sync9",0.15
100,10,20,0.9,-1,7,"Automerge",0.471
100,10,20,0.9,-1,7,"Sync9",0.148
100,10,20,0.1,-1,10,"Automerge",0.757
100,10,20,0.1,-1,10,"Sync9",0.138
100,10,20,0.25,-1,10,"Automerge",0.629
100,10,20,0.25,-1,10,"Sync9",0.301
100,10,20,0.5,-1,10,"Automerge",0.703
100,10,20,0.5,-1,10,"Sync9",0.273
100,10,20,0.75,-1,10,"Automerge",0.639
100,10,20,0.75,-1,10,"Sync9",0.209
100,10,20,0.9,-1,10,"Automerge",0.657
100,10,20,0.9,-1,10,"Sync9",0.207
100,10,40,0.1,-1,2,"Automerge",0.444
100,10,40,0.1,-1,2,"Sync9",0.104
100,10,40,0.25,-1,2,"Automerge",0.404
100,10,40,0.25,-1,2,"Sync9",0.079
100,10,40,0.5,-1,2,"Automerge",0.377
100,10,40,0.5,-1,2,"Sync9",0.093
100,10,40,0.75,-1,2,"Automerge",0.447
100,10,40,0.75,-1,2,"Sync9",0.1
100,10,40,0.9,-1,2,"Automerge",0.369
100,10,40,0.9,-1,2,"Sync9",0.143
100,10,40,0.1,-1,3,"Automerge",0.541
100,10,40,0.1,-1,3,"Sync9",0.124
100,10,40,0.25,-1,3,"Automerge",0.528
100,10,40,0.25,-1,3,"Sync9",0.104
100,10,40,0.5,-1,3,"Automerge",0.581
100,10,40,0.5,-1,3,"Sync9",0.125
100,10,40,0.75,-1,3,"Automerge",0.55
100,10,40,0.75,-1,3,"Sync9",0.154
100,10,40,0.9,-1,3,"Automerge",0.473
100,10,40,0.9,-1,3,"Sync9",0.259
100,10,40,0.1,-1,5,"Automerge",0.778
100,10,40,0.1,-1,5,"Sync9",0.158
100,10,40,0.25,-1,5,"Automerge",0.694
100,10,40,0.25,-1,5,"Sync9",0.135
100,10,40,0.5,-1,5,"Automerge",0.671
100,10,40,0.5,-1,5,"Sync9",0.429
100,10,40,0.75,-1,5,"Automerge",0.676
100,10,40,0.75,-1,5,"Sync9",0.283
100,10,40,0.9,-1,5,"Automerge",0.67
100,10,40,0.9,-1,5,"Sync9",0.402
100,10,40,0.1,-1,7,"Automerge",1.005
